code,description
541512,Computer Systems Design Services
541330,Engineering Services
488190,Other Support Activities for Air Transportation
561210,Facilities Support Services
611430,Professional and Management Development Training
336411,Aircraft Manufacturing
541611,Administrative Management Consulting Services
238220,Plumbing and HVAC Contractors
541519,Other Computer Related Services
236220,Commercial and Institutional Building Construction
334511,Search and Detection Equipment Manufacturing
541690,Other Scientific and Technical Consulting Services
