code,description
236220,"Commercial and Institutional Building Construction"
237310,"Highway, Street, and Bridge Construction"
325413,"In-Vitro Diagnostic Substance Manufacturing"
336414,"Guided Missile and Space Vehicle Manufacturing"
424210,"Drugs and Druggists' Sundries Merchant Wholesalers"
488490,"Other Support Activities for Road Transportation"
518210,"Computing Infrastructure Providers, Data Processing, and Related Services"
541330,"Engineering Services"
541512,"Computer Systems Design Services"
541611,"Administrative Management and General Management Consulting Services"
541690,"Other Scientific and Technical Consulting Services"
541715,"R&D in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology)"
561210,"Facilities Support Services"
561612,"Security Guards and Patrol Services"
561720,"Janitorial Services"
