code,description
541512,Computer Systems Design and Related Services
541330,Engineering Services
488190,Other Support Activities for Air Transportation
561210,Facilities Support Services
611430,Professional and Management Development Training
336411,Aircraft Manufacturing
541611,Administrative Management and General Management Consulting Services
238220,"Plumbing, Heating, and Air-Conditioning Contractors"
541519,Other Computer Related Services
236220,Commercial and Institutional Building Construction
334511,"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing"
541690,Other Scientific and Technical Consulting Services
325413,In-Vitro Diagnostic Substance Manufacturing
518210,"Data Processing, Hosting, and Related Services"
